CourseNum,SectionID,ClassType,Section,Day,Time,Building,Room,StudentsNumber
ECON-144,909916,LE,A00,MTuWTh,3:30p-4:50p,CENTR,214,48
MATH-10A,,LE,A00,MWF,9:00a-10:50a,SOLIS,111,0
MATH-10A,911182,DI,A01,Tu,9:00a-10:50a,SOLIS,111,0
MATH-10B,,LE,A00,MWF,2:00p-3:50p,HSS,1330,63
MATH-10B,909558,DI,A01,TuTh,2:00p-2:50p,APM,B412,33
MATH-10B,909559,DI,A02,TuTh,3:00p-3:50p,APM,B412,30
MATH-10C,,LE,A00,MTuWTh,9:30a-10:50a,LEDDN,AUD,80
MATH-10C,909561,DI,A01,TuTh,11:00a-11:50a,APM,B412,31
MATH-10C,909562,DI,A02,TuTh,12:00p-12:50p,APM,B412,27
MATH-10C,909563,DI,A03,TuTh,1:00p-1:50p,APM,B412,22
SIO-133,909707,LE,A00,TuTh,11:00a-1:50p,VAUGN,100,35
SIO-133,,DI,A01,TuTh,10:00a-10:50a,VAUGN,100,35
COMM-10,,LE,A00,TuTh,11:00a-1:50p,CENTR,222,47
COMM-10,909837,DI,A01,Th,3:00p-4:50p,WLH,2112,24
COMM-10,909838,DI,A02,F,11:00a-12:50p,HSS,1128A,23
MGT-45,911396,LE,A00,MW,11:00a-1:50p,WFH,1N108,44
PSYC-157,909692,LE,A00,TuTh,2:00p-4:50p,HSS,1315,30
POLI-28,,LE,A00,MW,11:00a-12:50p,WLH,2111,61
POLI-28,909660,DI,A01,MW,1:00p-1:50p,WLH,2111,33
POLI-28,909661,DI,A02,TuTh,11:00a-11:50a,YORK,3000A,28
BIPN-120,,LE,A00,TuTh,2:00p-4:50p,YORK,2622,50
BIPN-120,909805,DI,A01,W,11:00a-12:50p,YORK,3000A,23
BIPN-120,909806,DI,A02,Th,9:00a-10:50a,WLH,2112,27
ANTH-21,,LE,A00,MW,11:00a-1:50p,PCYNH,121,30
ANTH-21,909752,DI,A01,F,2:00p-3:50p,PCYNH,121,30
POLI-126AB,909668,LE,A00,TuTh,11:00a-1:50p,HSS,1315,16
CSE-15L,,LE,A00,MTh,4:00p-5:50p,EBU3B,4140,0
CSE-15L,917839,LA,A01,TuF,3:00p-4:50p,EBU3B,B240,0
CSE-7,,LE,A00,TuTh,2:00p-4:50p,CENTR,216,0
MATH-18,,LE,A00,TuTh,2:00p-4:50p,HSS,1330,132
MATH-18,909546,DI,A01,MW,10:00a-10:50a,APM,B412,37
MATH-18,909547,DI,A02,MW,11:00a-11:50a,APM,B412,34
MATH-18,909548,DI,A03,MW,12:00p-12:50p,APM,B412,31
MATH-18,909549,DI,A04,MW,1:00p-1:50p,APM,B412,30
MATH-18,,LA,A50,TuTh,10:00a-10:50a,APM,B349,33
MATH-18,,LA,A51,TuTh,11:00a-11:50a,APM,B349,33
MATH-18,,LA,A52,TuTh,12:00p-12:50p,APM,B349,33
MATH-18,,LA,A53,TuTh,1:00p-1:50p,APM,B349,33
SE-101B,909703,LE,A00,MW,2:00p-4:50p,CENTR,113,13
ECE-5,,LE,A00,MTuThF,9:00a-10:20a,SME,305,0
PHYS-2C,,LE,A00,MTuWTh,8:00a-9:20a,YORK,2722,41
PHYS-2C,,LE,A00,Th,1:00p-2:50p,YORK,2722,41
PHYS-2C,909650,DI,A01,Tu,1:00p-2:50p,YORK,2722,82
PHYS-2D,,LE,A00,MTuWTh,9:30a-10:50a,YORK,2722,27
PHYS-2D,,LE,A00,Th,11:00a-12:50p,YORK,2722,27
PHYS-2D,909656,DI,A01,Tu,11:00a-12:50p,YORK,2722,54
SE-101C,909704,LE,A00,MW,6:00p-8:50p,CENTR,113,11
MGT-4,911393,LE,A00,TuTh,11:00a-1:50p,OTRSN,1S113,58
HIUS-113,909945,LE,A00,MW,11:00a-1:50p,SEQUO,147,28
ETHN-103,909937,LE,A00,TuTh,11:00a-1:50p,SEQUO,147,26
MAE-130C,909543,LE,A00,MW,6:00p-8:50p,CENTR,113,42
BICD-100,,LE,A00,MTuWTh,9:30a-10:50a,SEQUO,147,0
BICD-100,917766,DI,A01,F,9:00a-10:50a,SEQUO,147,0
BICD-100,917767,DI,A02,F,9:00a-10:50a,SEQUO,148,0
BICD-101,,LE,A00,MTuThF,12:30p-1:50p,YORK,4124,0
BICD-101,917772,LA,A01,MTuThF,2:00p-5:50p,YORK,4124,0
SE-130B,918152,LE,B00,MTuWTh,2:00p-3:20p,WLH,2113,22
SE-130B,,LE,B00,F,12:00p-1:50p,PCYNH,121,11
MATH-120A,,LE,A00,MWF,8:00a-9:50a,CENTR,109,79
MATH-120A,909565,DI,A01,MW,2:00p-2:50p,PETER,104,43
MATH-120A,909566,DI,A02,MW,3:00p-3:50p,PETER,104,36
CSE-30,909876,LE,A00,MTuWTh,3:30p-4:50p,WLH,2205,61
CSE-30,,DI,A01,MW,6:00p-6:50p,WLH,2205,61
CSE-5A,,LE,A00,TuTh,8:00a-10:50a,WLH,2111,30
CSE-5A,909899,DI,A01,TuTh,12:00p-12:50p,CSB,005,30
MGT-103,911397,LE,A00,MW,8:00a-10:50a,OTRSN,1S113,79
SOCI-157,909710,LE,A00,TuTh,6:00p-8:50p,SSB,101,22
DOC-100D,909900,LE,A00,MTuWTh,5:00p-6:20p,HSS,1315,21
TDGE-11,909719,LE,A00,MW,2:00p-4:50p,YORK,4080A,48
TDGE-11,909720,LE,B00,TuTh,5:00p-7:50p,PCYNH,122,47
ECON-100B,,LE,A00,MW,11:00a-1:50p,CENTR,212,46
ECON-100B,909922,DI,A01,Th,12:00p-1:50p,WLH,2204,46
ECON-100C,,LE,A00,TuTh,2:00p-4:50p,CSB,002,94
ECON-100C,909924,DI,A01,W,2:00p-3:50p,CSB,002,94
COGS-188,,LE,A00,MW,2:00p-4:50p,CSB,005,38
COGS-188,909827,LA,A01,MW,5:00p-5:50p,CSB,005,38
ECON-100A,,LE,A00,MTuWTh,9:30a-10:50a,CENTR,212,50
ECON-100A,909920,DI,A01,F,11:00a-12:50p,CENTR,212,50
PHIL-10,,LE,A00,MW,11:00a-12:50p,CSB,001,61
PHIL-10,909629,DI,A01,MW,10:00a-10:50a,CSB,001,33
PHIL-10,909630,DI,A02,MW,1:00p-1:50p,CSB,001,28
COGS-187A,,LE,A00,TuTh,11:00a-1:50p,MANDE,B-150,67
COGS-187A,909835,LA,A01,TuTh,10:00a-10:50a,MANDE,B-150,67
SOCI-2,,LE,A00,MTuWTh,9:30a-10:50a,WLH,2115,17
SOCI-2,916104,DI,A01,MW,3:00p-3:50p,WLH,2114,17
POLI-146A,909675,LE,A00,MW,8:00a-10:50a,HSS,2150,13
PSYC-105,909687,LE,A00,TuTh,11:00a-1:50p,CENTR,212,80
USP-100,909729,LE,A00,TuTh,11:00a-1:50p,SSB,102,15
ECON-116,909914,LE,A00,MW,8:00a-10:50a,MANDE,B-104,22
CENG-15,909807,LE,A00,MTuThF,9:00a-10:20a,WLH,2114,14
POLI-150A,909676,LE,A00,TuTh,8:00a-10:50a,SEQUO,148,37
COGS-102A,,LE,A00,MW,11:00a-1:50p,MANDE,B-150,60
COGS-102A,909831,DI,A01,MW,2:00p-2:50p,MANDE,B-150,60
SE-154,918047,LE,B00,MW,4:00p-7:50p,WLH,2204,34
MUS-80,909623,SE,A00,TuTh,5:00p-7:50p,WLH,2114,13
MUS-80,909625,SE,C00,TuTh,2:00p-4:50p,WLH,2114,6
MATH-168A,,LE,A00,MTuWTh,1:00p-2:20p,APM,B402A,46
MATH-168A,909571,DI,A01,TuTh,3:00p-3:50p,APM,B402A,46
BICD-110,,LE,A00,TuTh,2:00p-4:50p,CENTR,113,97
BICD-110,909764,DI,A01,Tu,9:00a-10:50a,WLH,2112,21
BICD-110,909765,DI,A02,W,11:00a-12:50p,CENTR,203,26
BICD-110,909766,DI,A03,W,3:00p-4:50p,WLH,2208,20
BICD-110,909767,DI,A04,Th,11:00a-12:50p,CENTR,217A,30
MGT-112,911398,LE,A00,MW,5:00p-7:50p,WFH,1N108,86
MAE-131A,909544,LE,A00,MTuWTh,12:30p-1:50p,WLH,2113,32
SOCI-167,909711,LE,A00,MW,5:00p-7:50p,HSS,1305,9
MATH-109,,LE,A00,MTuThF,9:30a-10:50a,HSS,1330,52
MATH-109,909555,DI,A01,WF,12:00p-12:50p,APM,5402,32
MATH-109,909556,DI,A02,WF,1:00p-1:50p,APM,5402,27
MATH-109,918750,DI,A03,WF,11:00a-11:50a,APM,5402,30
MATH-109,,LE,B00,MTuThF,8:30a-9:50a,APM,2402,52
MATH-109,917845,DI,B01,MTh,10:00a-10:50a,APM,2402,15
MATH-103B,,LE,A00,MWF,9:00a-10:50a,PCYNH,122,46
MATH-103B,913045,DI,A01,TuTh,9:00a-9:50a,APM,B402A,26
MATH-103B,917758,DI,A02,TuTh,8:00a-8:50a,APM,B402A,8
MATH-103B,917759,DI,A03,TuTh,10:00a-10:50a,APM,B402A,12
BILD-1,,LE,A00,MTuWTh,9:30a-10:50a,CENTR,105,69
BILD-1,909776,DI,A01,Tu,11:00a-12:50p,CENTR,217A,30
BILD-1,909777,DI,A02,W,11:00a-12:50p,CENTR,217A,24
BILD-1,909778,DI,A03,W,3:00p-4:50p,CENTR,218,15
SE-1,,LE,A00,MTuThF,9:00a-10:20a,WLH,2113,0
SE-1,909700,LA,A01,W,8:00a-9:50a,SME,303,0
SOCI-100,,LE,A00,MTuWTh,11:00a-12:20p,SOLIS,110,15
SOCI-100,916161,DI,A01,TuTh,1:00p-1:50p,SOLIS,110,15
POLI-100B,909663,LE,A00,MW,2:00p-4:50p,HSS,1128A,24
PSYC-130,909690,LE,A00,MW,2:00p-4:50p,HSS,1315,20
PSYC-70,,LE,A00,MTuWTh,9:30a-10:50a,CENTR,222,22
PSYC-70,909684,DI,A01,Tu,3:00p-4:50p,MCGIL,1350,13
PSYC-70,911382,DI,A02,W,3:00p-4:50p,MCGIL,1350,9
MATH-193B,,LE,A00,MWF,11:00a-12:50p,PETER,104,65
MATH-193B,909573,DI,A01,TuTh,11:00a-11:50a,APM,B402A,32
MATH-193B,909574,DI,A02,TuTh,12:00p-12:50p,APM,B402A,33
POLI-100M,909664,LE,A00,TuTh,11:00a-1:50p,WLH,2115,33
POLI-100O,909665,LE,A00,MW,11:00a-1:50p,HSS,1128A,17
HIEU-152,909941,LE,A00,MTuWTh,9:30a-10:50a,HSS,1305,18
TDGE-124,909723,LE,A00,TuTh,11:00a-1:50p,PETER,104,54
BIMM-101,,LE,A00,MTuThF,11:00a-12:20p,YORK,2622,0
BIMM-101,909792,LA,A01,MTuThF,1:00p-4:50p,YORK,4318,0
BIMM-101,909793,LA,A02,MTuThF,1:00p-4:50p,YORK,4332,0
BIMM-101,,LE,B00,MTuThF,12:30p-1:50p,YORK,3000A,0
BIMM-101,917770,LA,B01,MTuThF,2:00p-5:50p,YORK,3306,0
CSE-140,,LE,A00,TuTh,11:00a-1:50p,PCYNH,122,64
CSE-140,909890,DI,A01,TuTh,10:00a-10:50a,PCYNH,122,64
COMM-105G,909846,LE,A00,MW,2:00p-4:50p,SOLIS,111,38
ECON-109,,LE,A00,MTuWTh,11:00a-12:20p,PETER,103,58
ECON-109,909913,DI,A01,F,10:00a-11:50a,PETER,103,58
PHYS-2B,,LE,A00,MTuWTh,9:30a-10:50a,YORK,2622,43
PHYS-2B,,LE,A00,Th,5:00p-6:50p,MANDE,B-210,43
PHYS-2B,909648,DI,A01,Tu,5:00p-6:50p,MANDE,B-210,87
HILA-114,909943,LE,A00,TuTh,11:00a-1:50p,HSS,1128A,26
ANBI-173,909748,LE,A00,TuTh,11:00a-1:50p,WLH,2112,26
PHYS-1CL,909645,LA,001,TuTh,9:00a-10:50a,MAYER,2130,22
PHYS-1CL,909646,LA,002,TuTh,11:00a-12:50p,MAYER,2130,20
PHYS-1CL,917821,LA,003,TuTh,1:00p-2:50p,MAYER,2130,20
MUS-13,,LE,A00,TuTh,2:00p-4:50p,WLH,2204,42
MUS-13,909614,DI,A01,TuTh,5:00p-5:50p,WLH,2204,42
ECON-120A,,LE,A00,MTuWTh,12:30p-1:50p,CENTR,214,25
ECON-120A,909928,DI,A01,F,12:00p-1:50p,PETER,103,25
ECON-120B,,LE,A00,TuTh,2:00p-4:50p,CENTR,105,50
ECON-120B,909930,DI,A01,W,3:00p-4:50p,MANDE,B-150,50
ECON-120C,,LE,A00,TuTh,8:00a-10:50a,CSB,002,69
ECON-120C,909932,DI,A01,F,9:00a-10:50a,CSB,002,69
MUS-15,,LE,A00,MW,5:00p-7:50p,WLH,2154,26
MUS-15,909618,DI,A01,MW,4:00p-4:50p,WLH,2154,26
MUS-15,,LE,B00,TuTh,11:00a-1:50p,WLH,2154,26
MUS-15,909620,DI,B01,TuTh,2:00p-2:50p,WLH,2154,26
ECON-110B,,LE,A00,TuTh,11:00a-1:50p,CSB,002,34
ECON-110B,909926,DI,A01,W,12:00p-1:50p,WLH,2204,34
COGS-101C,,LE,A00,TuTh,2:00p-4:50p,PETER,102,44
COGS-101C,909829,DI,A01,TuTh,1:00p-1:50p,PETER,102,44
MATH-2,,LE,A00,MWF,9:00a-10:50a,HSS,1315,0
MATH-2,911175,DI,A01,Tu,9:00a-10:50a,HSS,1315,0
MATH-2,,LA,A50,Th,9:00a-10:50a,HSS,1315,0
ANSC-166,909750,LE,A00,MW,5:00p-7:50p,CSB,001,111
ANSC-165,909749,LE,A00,TuTh,2:00p-4:50p,HSS,1106A,5
LTEN-113,909953,LE,A00,MW,11:00a-1:50p,WLH,2110,9
POLI-140A,909671,LE,A00,MW,5:00p-7:50p,HSS,2150,16
TDPW-1,909728,LA,A00,MW,11:00a-1:50p,MANDE,B-153,17
MATH-20C,,LE,A00,MTuWTh,11:00a-12:20p,LEDDN,AUD,124
MATH-20C,909579,DI,A01,TuTh,1:00p-1:50p,APM,5402,34
MATH-20C,909580,DI,A02,TuTh,2:00p-2:50p,APM,5402,32
MATH-20C,909581,DI,A03,TuTh,3:00p-3:50p,APM,5402,31
MATH-20C,909582,DI,A04,TuTh,4:00p-4:50p,APM,5402,27
MATH-20B,,LE,A00,MWF,9:00a-10:50a,PETER,104,30
