CourseNum,SectionID,ClassType,Section,Day,Time,Building,Room,StudentsNumber
MATH-10A,,LE,A00,MWF,2:00p-3:50p,SOLIS,104,71
MATH-10A,908796,DI,A01,Th,10:00a-11:50a,APM,B412,36
MATH-10A,908797,DI,A02,Th,12:00p-1:50p,APM,B412,35
MATH-10B,,LE,A00,MWF,2:00p-3:50p,HSS,1330,61
MATH-10B,908799,DI,A01,TuTh,2:00p-2:50p,APM,B412,31
MATH-10B,908800,DI,A02,TuTh,3:00p-3:50p,APM,B412,30
LTSP-150B,908767,LE,A00,MW,11:00a-1:50p,HSS,2150,3
PSYC-155,908918,LE,A00,TuTh,8:00a-10:50a,CENTR,212,86
ETHN-183,909212,LE,A00,MW,2:00p-4:50p,CENTR,207,10
POLI-126,908893,LE,A00,TuTh,2:00p-4:50p,WLH,2110,6
ECON-173A,,LE,A00,MTuWTh,9:30a-10:50a,CSB,002,25
ECON-173A,909203,DI,A01,F,9:30a-11:20a,CSB,002,25
CAT-124,,SE,A00,Tu,2:00p-4:50p,CENTR,203,0
PHYS-2A,,LE,A00,MTuWTh,8:00a-9:20a,YORK,2622,34
PHYS-2A,,LE,A00,Th,5:00p-6:50p,YORK,2622,34
PHYS-2A,908881,DI,A01,Tu,5:00p-6:50p,YORK,2622,69
PHYS-2B,,LE,A00,MTuWTh,2:00p-3:20p,YORK,2622,39
PHYS-2B,,LE,A00,Th,6:00p-7:50p,MANDE,B-210,39
PHYS-2B,908883,DI,A01,Tu,6:00p-7:50p,MANDE,B-210,78
PHYS-2C,,LE,A00,MTuWTh,9:30a-10:50a,YORK,2722,49
PHYS-2C,,LE,A00,Th,6:00p-7:50p,HSS,1330,49
PHYS-2C,908888,DI,A01,Tu,6:00p-7:50p,HSS,1330,99
MGT-4,909536,LE,A00,MTuWTh,12:30p-1:50p,CSB,002,7
MGT-5,911383,LE,A00,TuTh,8:00a-10:50a,WFH,1N108,52
ETHN-101,,LE,A00,TuTh,5:00p-7:50p,HSS,2150,0
TDGE-1,,LE,A00,MW,11:00a-12:50p,YORK,4080A,35
TDGE-1,908949,DI,A01,MW,1:00p-1:50p,YORK,4080A,35
HILD-7C,,LE,A00,MW,11:00a-1:50p,CENTR,113,81
HILD-7C,909226,DI,A01,M,2:00p-3:50p,CENTR,217A,28
HILD-7C,909227,DI,A02,W,2:00p-3:50p,CENTR,217A,29
HILD-7C,918886,DI,A03,W,9:00a-10:50a,HSS,2150,24
BICD-100,,LE,A00,MTuWTh,9:30a-10:50a,CENTR,214,85
BICD-100,909008,DI,A01,MW,11:00a-11:50a,CENTR,218,32
BICD-100,909009,DI,A02,TuTh,12:00p-12:50p,CENTR,207,30
BICD-100,909010,DI,A03,TuTh,1:00p-1:50p,CENTR,207,23
ECON-120B,,LE,A00,TuTh,8:00a-10:50a,PETER,102,56
ECON-120B,909199,DI,A01,W,9:00a-10:50a,HSS,1330,56
PHIL-164,908870,LE,A00,TuTh,11:00a-1:50p,SEQUO,147,37
CSE-5A,,LE,A00,MW,8:00a-10:50a,WLH,2111,26
CSE-5A,909160,DI,A01,MW,12:00p-12:50p,WLH,2204,26
PHIL-162,908869,LE,A00,MW,11:00a-1:50p,MANDE,B-104,14
MGT-103,911386,LE,A00,MW,8:00a-10:50a,OTRSN,1S113,69
CSE-134B,909157,LE,A00,MTuWTh,8:00a-9:20a,CENTR,105,94
CGS-114,909076,LE,A00,MW,2:00p-4:50p,CENTR,207,10
TDGE-11,908951,LE,A00,TuTh,2:00p-4:50p,PCYNH,122,18
TDGE-11,908952,LE,B00,TuTh,5:00p-7:50p,CSB,001,47
CGS-112,909075,LE,A00,TuTh,11:00a-1:50p,SEQUO,148,18
