building_tag,longitude,latitude,day,hour,students_number
YORK,32.874554,-117.240005,M,12,35
WFH,32.886956,-117.241839,Tu,08,52
SME,32.87989,-117.233139,W,12,45
PCYNH,32.878422,-117.233767,M,12,129
HSS,32.878391,-117.241665,F,12,122
SEQUO,32.882173,-117.240561,M,09,0
BONN,32.875415,-117.240332,Th,11,0
CENTR,32.877773,-117.237262,W,12,683
SEQUO,32.882173,-117.240561,Tu,09,25
SME,32.87989,-117.233139,Th,12,21
WLH,32.880558,-117.234319,Tu,19,61
WFH,32.886956,-117.241839,W,19,76
WFH,32.886956,-117.241839,Th,10,52
CSB,32.880547,-117.239444,M,11,48
MYR-A,32.875268,-117.240194,Th,10,16
HSS,32.878391,-117.241665,Th,18,49
MANDE,32.877866,-117.239432,M,08,40
APM,32.879039,-117.241028,M,08,24
SEQUO,32.882173,-117.240561,W,11,19
SEQUO,32.882173,-117.240561,W,08,0
APM,32.879039,-117.241028,M,13,35
MANDE,32.877866,-117.239432,Th,08,40
CSB,32.880547,-117.239444,Tu,18,47
SPIES,32.869081,-117.251015,Th,12,36
WFH,32.886956,-117.241839,M,18,76
PCYNH,32.878422,-117.233767,Tu,12,75
RBC,32.884341,-117.240977,W,13,15
CSB,32.880547,-117.239444,W,11,48
PETER,32.880013,-117.240351,M,15,109
CENTR,32.877773,-117.237262,Tu,09,475
MYR-A,32.875268,-117.240194,Tu,13,21
APM,32.879039,-117.241028,F,13,98
MAYER,32.875322,-117.24019,Tu,12,66
WLH,32.880558,-117.234319,Tu,09,45
MYR-A,32.875268,-117.240194,Th,11,21
HSS,32.878391,-117.241665,Th,10,191
SOLIS,32.880931,-117.239798,Tu,08,55
PETER,32.880013,-117.240351,M,08,34
CENTR,32.877773,-117.237262,M,13,601
PETER,32.880013,-117.240351,Tu,09,56
SOLIS,32.880931,-117.239798,Th,12,47
SEQUO,32.882173,-117.240561,Tu,17,78
MANDE,32.877866,-117.239432,W,13,240
APM,32.879039,-117.241028,Tu,12,64
CSB,32.880547,-117.239444,M,12,78
YORK,32.874554,-117.240005,W,11,35
MANDE,32.877866,-117.239432,W,08,40
CSB,32.880547,-117.239444,W,16,22
PCYNH,32.878422,-117.233767,M,08,45
HSS,32.878391,-117.241665,Tu,13,183
CENTR,32.877773,-117.237262,F,10,219
SME,32.87989,-117.233139,M,14,45
GH,32.873717,-117.240975,Th,15,89
HSS,32.878391,-117.241665,W,16,170
SME,32.87989,-117.233139,M,09,56
YORK,32.874554,-117.240005,Tu,12,42
PETER,32.880013,-117.240351,Th,10,56
PETER,32.880013,-117.240351,W,19,103
GH,32.873717,-117.240975,W,09,51
HSS,32.878391,-117.241665,M,10,186
OTRSN,32.88662,-117.241109,W,08,69
WLH,32.880558,-117.234319,Th,19,61
NSB,32.875274,-117.242808,Th,12,0
CENTR,32.877773,-117.237262,Th,14,392
CSB,32.880547,-117.239444,Tu,13,90
WLH,32.880558,-117.234319,W,09,116
HSS,32.878391,-117.241665,M,17,25
APM,32.879039,-117.241028,W,15,94
MANDE,32.877866,-117.239432,Tu,16,71
MCGIL,32.879049,-117.242043,Tu,16,29
GH,32.873717,-117.240975,W,17,20
MAYER,32.875322,-117.24019,Th,09,20
PETER,32.880013,-117.240351,F,10,126
PETER,32.880013,-117.240351,W,11,384
HSS,32.878391,-117.241665,M,18,25
YORK,32.874554,-117.240005,Th,17,179
WLH,32.880558,-117.234319,Th,11,294
CENTR,32.877773,-117.237262,W,15,584
MANDE,32.877866,-117.239432,M,15,177
WLH,32.880558,-117.234319,Tu,10,68
CSB,32.880547,-117.239444,M,08,50
APM,32.879039,-117.241028,Th,15,108
PETER,32.880013,-117.240351,Tu,13,287
MAYER,32.875322,-117.24019,Th,10,69
SEQUO,32.882173,-117.240561,Th,14,67
EBU3B,32.881835,-117.233523,M,11,27
WLH,32.880558,-117.234319,W,15,223
PCYNH,32.878422,-117.233767,W,08,45
SME,32.87989,-117.233139,Tu,13,21
HSS,32.878391,-117.241665,W,08,29
YORK,32.874554,-117.240005,M,11,35
WFH,32.886956,-117.241839,Tu,09,52
GH,32.873717,-117.240975,Tu,18,19
BONN,32.875415,-117.240332,Tu,11,0
HSS,32.878391,-117.241665,Tu,10,191
PCYNH,32.878422,-117.233767,W,13,129
EBU3B,32.881835,-117.233523,W,10,12
WLH,32.880558,-117.234319,Tu,18,82
WFH,32.886956,-117.241839,Th,11,35
WFH,32.886956,-117.241839,Th,09,52
APM,32.879039,-117.241028,M,09,24
SEQUO,32.882173,-117.240561,W,12,19
EBU3B,32.881835,-117.233523,W,13,27
PCYNH,32.878422,-117.233767,Tu,09,109
APM,32.879039,-117.241028,M,12,26
OTRSN,32.88662,-117.241109,M,17,69
MANDE,32.877866,-117.239432,W,14,175
CSB,32.880547,-117.239444,Th,18,47
MANDE,32.877866,-117.239432,Tu,08,40
CENTR,32.877773,-117.237262,Tu,14,392
WFH,32.886956,-117.241839,M,19,76
PCYNH,32.878422,-117.233767,Tu,13,75
GH,32.873717,-117.240975,Tu,10,51
PETER,32.880013,-117.240351,M,14,109
OTRSN,32.88662,-117.241109,Tu,10,35
HSS,32.878391,-117.241665,Tu,18,99
CENTR,32.877773,-117.237262,Tu,08,287
HSS,32.878391,-117.241665,M,13,143
APM,32.879039,-117.241028,F,14,82
MAYER,32.875322,-117.24019,Tu,13,43
APM,32.879039,-117.241028,F,16,36
SOLIS,32.880931,-117.239798,Tu,13,47
SME,32.87989,-117.233139,W,09,56
HSS,32.878391,-117.241665,Th,13,183
SEQUO,32.882173,-117.240561,Th,09,25
PETER,32.880013,-117.240351,M,09,160
RBC,32.884341,-117.240977,M,13,15
PETER,32.880013,-117.240351,Tu,08,56
SOLIS,32.880931,-117.239798,Th,11,47
SEQUO,32.882173,-117.240561,Tu,16,67
WLH,32.880558,-117.234319,M,12,198
APM,32.879039,-117.241028,Tu,13,94
NSB,32.875274,-117.242808,W,10,0
CSB,32.880547,-117.239444,M,15,22
YORK,32.874554,-117.240005,W,10,106
MANDE,32.877866,-117.239432,Th,14,72
GH,32.873717,-117.240975,Tu,17,19
CSB,32.880547,-117.239444,W,15,22
PCYNH,32.878422,-117.233767,M,09,45
CENTR,32.877773,-117.237262,W,08,208
CSB,32.880547,-117.239444,Tu,10,107
CENTR,32.877773,-117.237262,F,11,84
YORK,32.874554,-117.240005,F,13,0
SSB,32.883965,-117.240439,Th,10,29
GH,32.873717,-117.240975,Th,14,89
HSS,32.878391,-117.241665,W,11,281
YORK,32.874554,-117.240005,Tu,13,82
CENTR,32.877773,-117.237262,W,20,135
PETER,32.880013,-117.240351,W,18,103
GH,32.873717,-117.240975,M,09,51
MANDE,32.877866,-117.239432,M,09,40
MYR-A,32.875268,-117.240194,Tu,12,21
YORK,32.874554,-117.240005,W,18,145
MANDE,32.877866,-117.239432,M,12,193
WLH,32.880558,-117.234319,W,08,62
SSB,32.883965,-117.240439,Tu,09,29
WFH,32.886956,-117.241839,W,17,76
BONN,32.875415,-117.240332,F,11,0
MANDE,32.877866,-117.239432,Tu,15,96
CSB,32.880547,-117.239444,Th,11,60
SOLIS,32.880931,-117.239798,W,09,55
WFH,32.886956,-117.241839,Tu,12,35
CSB,32.880547,-117.239444,W,08,50
SOLIS,32.880931,-117.239798,W,15,71
YORK,32.874554,-117.240005,M,18,145
YORK,32.874554,-117.240005,F,11,0
PCYNH,32.878422,-117.233767,Th,16,18
YORK,32.874554,-117.240005,Th,16,11
WLH,32.880558,-117.234319,Th,12,294
CENTR,32.877773,-117.237262,W,14,572
WLH,32.880558,-117.234319,M,09,83
WLH,32.880558,-117.234319,Tu,17,176
APM,32.879039,-117.241028,F,17,40
CSB,32.880547,-117.239444,M,09,75
SOLIS,32.880931,-117.239798,Tu,12,47
APM,32.879039,-117.241028,Th,14,152
PETER,32.880013,-117.240351,Tu,14,226
SEQUO,32.882173,-117.240561,Th,15,67
EBU3B,32.881835,-117.233523,M,16,17
WLH,32.880558,-117.234319,W,16,176
PCYNH,32.878422,-117.233767,W,09,45
SME,32.87989,-117.233139,Tu,12,21
YORK,32.874554,-117.240005,M,10,106
PCYNH,32.878422,-117.233767,Tu,14,18
GH,32.873717,-117.240975,Tu,19,19
HSS,32.878391,-117.241665,F,10,127
BONN,32.875415,-117.240332,Th,13,0
CENTR,32.877773,-117.237262,Th,17,145
EBU3B,32.881835,-117.233523,W,11,27
NSB,32.875274,-117.242808,M,10,0
SEQUO,32.882173,-117.240561,W,13,19
PCYNH,32.878422,-117.233767,Tu,08,30
CENTR,32.877773,-117.237262,M,19,595
SPIES,32.869081,-117.251015,Tu,11,36
APM,32.879039,-117.241028,M,15,34
MANDE,32.877866,-117.239432,W,15,177
APM,32.879039,-117.241028,Tu,14,152
CENTR,32.877773,-117.237262,Tu,15,360
GH,32.873717,-117.240975,Tu,11,51
SSB,32.883965,-117.240439,Tu,08,29
OTRSN,32.88662,-117.241109,Tu,11,107
APM,32.879039,-117.241028,Th,08,19
HSS,32.878391,-117.241665,Tu,19,99
OTRSN,32.88662,-117.241109,M,08,69
APM,32.879039,-117.241028,F,15,76
APM,32.879039,-117.241028,W,14,136
OTRSN,32.88662,-117.241109,W,12,15
SSB,32.883965,-117.240439,Tu,10,29
HSS,32.878391,-117.241665,Th,12,183
SEQUO,32.882173,-117.240561,Th,08,10
YORK,32.874554,-117.240005,Tu,18,214
PETER,32.880013,-117.240351,Th,16,117
CENTR,32.877773,-117.237262,M,11,669
SOLIS,32.880931,-117.239798,Th,10,55
SEQUO,32.882173,-117.240561,Tu,15,67
HSS,32.878391,-117.241665,M,16,170
NSB,32.875274,-117.242808,W,11,0
CSB,32.880547,-117.239444,M,14,22
WFH,32.886956,-117.241839,Th,13,35
YORK,32.874554,-117.240005,W,13,104
PCYNH,32.878422,-117.233767,W,12,129
CSB,32.880547,-117.239444,W,14,22
APM,32.879039,-117.241028,W,13,90
CENTR,32.877773,-117.237262,W,09,510
MANDE,32.877866,-117.239432,Tu,09,62
APM,32.879039,-117.241028,W,08,24
HSS,32.878391,-117.241665,W,10,139
OTRSN,32.88662,-117.241109,W,18,69
NSB,32.875274,-117.242808,Tu,11,0
YORK,32.874554,-117.240005,Tu,10,49
PETER,32.880013,-117.240351,W,17,50
MCGIL,32.879049,-117.242043,Th,16,29
HSS,32.878391,-117.241665,Tu,09,175
YORK,32.874554,-117.240005,Th,11,42
NSB,32.875274,-117.242808,Th,10,0
CENTR,32.877773,-117.237262,Tu,17,77
CENTR,32.877773,-117.237262,Th,16,314
YORK,32.874554,-117.240005,Th,08,34
MANDE,32.877866,-117.239432,M,13,240
BONN,32.875415,-117.240332,W,14,0
MANDE,32.877866,-117.239432,Tu,14,94
CENTR,32.877773,-117.237262,Th,08,287
MCGIL,32.879049,-117.242043,Tu,14,29
APM,32.879039,-117.241028,Th,13,129
GH,32.873717,-117.240975,W,15,70
CSB,32.880547,-117.239444,W,09,75
SOLIS,32.880931,-117.239798,W,14,71
GH,32.873717,-117.240975,Th,09,51
PCYNH,32.878422,-117.233767,Th,15,18
YORK,32.874554,-117.240005,Th,19,145
WLH,32.880558,-117.234319,Th,13,296
PCYNH,32.878422,-117.233767,W,10,45
SEQUO,32.882173,-117.240561,M,12,19
CENTR,32.877773,-117.237262,W,17,551
WLH,32.880558,-117.234319,M,08,62
WLH,32.880558,-117.234319,Tu,16,392
PETER,32.880013,-117.240351,Tu,15,226
